timestamp,elapsed_time,log_number,test_mode,person_detected,person_x_mm,person_y_mm,person_distance_mm,person_angle_deg,person_confidence,time_since_person_update_ms,robot_x_mm,robot_y_mm,robot_orientation_deg,imu_yaw_raw,imu_yaw_smoothed,imu_roll,imu_pitch,imu_angular_vel_z,imu_update_rate,imu_drift_estimate,attr_force_x,attr_force_y,attr_force_magnitude,attr_force_direction_deg,repul_force_x,repul_force_y,repul_force_magnitude,repul_force_direction_deg,num_obstacles_in_range,closest_obstacle_dist_mm,closest_obstacle_angle_deg,total_force_x,total_force_y,total_force_magnitude,total_force_direction_deg,expected_direction_to_person_deg,force_direction_deg,direction_error_deg,direction_mismatch_flag,commanded_direction,commanded_speed,motor_1_speed,motor_2_speed,nav_state,nav_state_changed,goal_reached,stuck_detected,time_in_current_state_s,anomaly_detected,anomaly_type,calculation_time_ms,obstacles_filtered_for_person
1764557161.8892095,126.033,1,GENERAL,False,0.0,0.0,0.0,0.00,0.000,0.0,3197.2,-4128.8,97.69,97.69,97.69,159.72,88.14,0.0021,10.0,0.000,1.1337,-0.0520,1.1349,-2.63,0.0000,0.0000,0.0000,0.00,0,1000.0,243.0,1.1337,-0.0520,1.1349,-2.63,0.00,-2.63,0.00,False,FORWARDS,0.340,0,0,SEARCHING,True,False,True,0,True,STUCK_DETECTED,0.00,0
1764557161.9349575,126.078,2,GENERAL,True,-95.5,1991.9,1994.2,357.26,0.976,0.0,3196.6,-4124.4,97.69,97.69,97.69,159.72,88.14,0.0000,10.0,0.000,1.1303,-0.0542,1.1316,-2.74,0.0000,0.0000,0.0000,0.00,0,1000.0,243.0,1.1303,-0.0542,1.1316,-2.74,357.26,-2.74,0.00,False,FORWARDS,0.339,0,0,NAVIGATING,True,False,True,0,True,STUCK_DETECTED,0.00,1
1764557161.9710495,126.115,3,GENERAL,True,-95.5,1991.9,1994.2,357.26,0.976,0.0,3196.1,-4120.7,97.69,97.69,97.69,159.72,88.14,0.0192,10.0,0.000,1.1303,-0.0542,1.1316,-2.74,0.0000,0.0000,0.0000,0.00,0,1000.0,243.0,1.1303,-0.0542,1.1316,-2.74,357.26,-2.74,0.00,False,FORWARDS,0.339,0,0,STUCK,True,False,True,0,True,STUCK_DETECTED,0.00,1
1764557162.0129762,126.157,4,GENERAL,True,-95.5,1991.9,1994.2,357.26,0.976,0.0,3195.5,-4116.3,97.69,97.69,97.69,159.72,88.14,0.0064,10.0,0.000,1.1303,-0.0542,1.1316,-2.74,0.0000,0.0000,0.0000,0.00,0,1000.0,243.0,1.1303,-0.0542,1.1316,-2.74,357.26,-2.74,0.00,False,FORWARDS,0.339,0,0,STUCK,False,False,True,0,True,STUCK_DETECTED,0.00,1
1764557162.0551822,126.199,5,GENERAL,True,-97.3,1993.2,1995.6,357.20,0.976,0.0,3195.0,-4112.4,97.69,97.69,97.69,159.72,88.14,0.0096,10.0,0.000,1.1286,-0.0551,1.1299,-2.80,1.0951,0.4648,1.1896,23.00,1,350.0,243.0,2.2237,0.4097,2.2611,10.44,357.20,10.44,13.24,False,FORWARDS,0.678,0,0,STUCK,False,False,True,0,True,STUCK_DETECTED,0.00,1
1764557162.0935075,126.237,6,GENERAL,True,-97.3,1993.2,1995.6,357.20,0.976,0.0,3193.8,-4103.9,97.69,97.69,97.69,159.72,88.14,-0.0064,10.0,0.000,1.1286,-0.0551,1.1299,-2.80,1.0951,0.4648,1.1896,23.00,1,350.0,243.0,2.2237,0.4097,2.2611,10.44,357.20,10.44,13.24,False,FORWARDS,0.678,0,0,STUCK,False,False,True,0,True,STUCK_DETECTED,0.00,1
1764557162.1334257,126.277,7,GENERAL,True,-97.3,1993.2,1995.6,357.20,0.976,0.0,3192.8,-4096.2,97.69,97.69,97.69,159.72,88.14,-0.0085,10.0,0.000,1.1286,-0.0551,1.1299,-2.80,1.0951,0.4648,1.1896,23.00,1,350.0,243.0,2.2237,0.4097,2.2611,10.44,357.20,10.44,13.24,False,FORWARDS,0.678,0,0,STUCK,False,False,True,0,True,STUCK_DETECTED,0.00,1
1764557162.1779418,126.321,8,GENERAL,True,-97.3,1993.2,1995.6,357.20,0.976,0.0,3191.6,-4087.5,97.69,97.69,97.69,159.72,88.14,0.0064,10.0,0.000,1.1286,-0.0551,1.1299,-2.80,1.0951,0.4648,1.1896,23.00,1,350.0,243.0,2.2237,0.4097,2.2611,10.44,357.20,10.44,13.24,False,FORWARDS,0.678,0,0,STUCK,False,False,True,0,True,STUCK_DETECTED,0.00,1
1764557162.213943,126.357,9,GENERAL,True,-97.3,1993.2,1995.6,357.20,0.976,0.0,3190.6,-4079.8,97.69,97.69,97.69,159.72,88.14,0.0107,10.0,0.000,1.1286,-0.0551,1.1299,-2.80,1.0951,0.4648,1.1896,23.00,1,350.0,243.0,2.2237,0.4097,2.2611,10.44,357.20,10.44,13.24,False,FORWARDS,0.678,0,0,STUCK,False,False,True,0,True,STUCK_DETECTED,0.00,1
1764557162.2557445,126.399,10,GENERAL,True,-97.3,1993.2,1995.6,357.20,0.976,0.0,3189.4,-4071.4,97.70,97.74,97.70,159.77,88.14,0.0170,10.0,0.000,1.1286,-0.0551,1.1299,-2.80,0.0000,0.0000,0.0000,0.00,0,1000.0,243.0,1.1286,-0.0551,1.1299,-2.80,357.20,-2.80,0.00,False,FORWARDS,0.339,0,0,STUCK,False,False,True,0,True,STUCK_DETECTED,0.00,1
