timestamp,elapsed_time,event_type,event_description,prev_state,new_state,person_detected,person_distance_mm,force_magnitude,commanded_direction,imu_yaw,additional_data
1764557161.8893554,126.033,STATE_CHANGE,None -> SEARCHING,NONE,,False,0.0,1.1349,FORWARDS,97.69,
1764557161.935047,126.079,STATE_CHANGE,SEARCHING -> NAVIGATING,SEARCHING,,True,1994.2,1.1316,FORWARDS,97.69,
1764557161.9711616,126.115,STATE_CHANGE,NAVIGATING -> STUCK,NAVIGATING,,True,1994.2,1.1316,FORWARDS,97.69,
1764557167.00204,131.146,STATE_CHANGE,STUCK -> RECOVERING,STUCK,,True,1550.4,5.0000,LEFT,93.70,
1764557175.019039,139.163,STATE_CHANGE,RECOVERING -> STUCK,RECOVERING,,True,1277.6,5.0000,RIGHT,110.62,
1764557180.0319693,144.176,STATE_CHANGE,STUCK -> RECOVERING,STUCK,,True,2097.1,5.0000,LEFT,99.86,
1764557188.0867763,152.230,STATE_CHANGE,RECOVERING -> STUCK,RECOVERING,,True,1226.5,5.0000,LEFT,104.15,
1764557193.1149666,157.259,STATE_CHANGE,STUCK -> RECOVERING,STUCK,,True,1301.0,5.0000,RIGHT,123.09,
1764557201.116573,165.260,STATE_CHANGE,RECOVERING -> STUCK,RECOVERING,,False,0.0,5.0000,LEFT,105.29,
