timestamp,mode_time_elapsed,fps,person_detected,person_x_pixels,person_z_camera,person_confidence,servo_position,servo_is_moving,person_centered,pixel_error,total_moves,successful_centers,false_positive_rejections,detection_success_count,detection_failure_count,detection_rate,consecutive_successes,consecutive_failures,rolling_variance_pixels,rolling_std_dev_pixels,average_variance_pixels,reused_detection,last_good_age_ms,smoothing_applied,smoothed_position_x,raw_position_x,dynamic_offset_x,dynamic_offset_y,calibration_samples_count,movement_enabled,base_is_moving,base_direction,base_speed,movement_success_rate,total_movement_commands,avg_movement_duration,robot_pos_x,robot_pos_y,robot_orientation,robot_velocity_x,robot_velocity_y,total_distance_traveled,total_rotation,position_confidence,orientation_confidence,imu_initialized,imu_roll,imu_pitch,imu_yaw,imu_smoothed_yaw,imu_angular_vel_x,imu_angular_vel_y,imu_angular_vel_z,imu_accel_x,imu_accel_y,imu_accel_z,imu_update_rate,navigation_enabled,navigation_state,has_person_target,goal_reached,person_distance_mm,person_angle_deg,time_since_person_update,attractive_force_magnitude,repulsive_force_magnitude,total_force_magnitude,nav_movement_direction,nav_movement_speed,navigation_success_rate,goals_reached,force_calculations_count,obstacles_filtered_count
1764118013.7586288,9.546189308166504,0.10492837943835014,True,779,1142.833251953125,1.0,0.02,True,False,-131,1,0,0,1,0,100.0,1,0,0.0,0.0,0.0,0,0.0,0,779,779,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,169.6934667905398,87.7429217304765,169.6538980162854,169.6538980162854,-0.004261057823896408,0.008522115647792816,0.014913702383637428,-9.251194953918457,0.028730420395731926,-0.3256114423274994,9.995648371237307,False,IDLE,True,False,1273.0818525405214,358.8676840908527,0.0001239776611328125,1.5461637050810428,0.0,1.5461637050810428,NONE,0.0,0.0,0,1,0
1764118013.7838297,9.571390151977539,12.790190515482502,True,779,1142.833251953125,1.0,0.02,True,False,-131,1,0,0,2,0,100.0,2,0,0,0.0,0,1,26.21769905090332,1,779.0,779,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,169.6538980162854,0.0,0.0,0.0,0.0,1.0,0.9,True,169.6934667905398,87.7429217304765,169.6538980162854,169.6538980162854,-0.003195793367922306,0.003195793367922306,0.003195793367922306,-9.232041358947754,0.08619125932455063,-0.35434186458587646,9.998185963745497,False,IDLE,True,False,1273.0818525405211,357.7426840908527,7.271766662597656e-05,1.5461637050810422,0.0,1.5461637050810422,NONE,0.0,0.0,0,2,0
1764118013.8233142,9.610874652862549,16.823343163881763,True,779,1142.833251953125,1.0,0.02,True,False,-131,1,0,0,3,0,100.0,3,0,0,0.0,0,1,65.4299259185791,2,779.0,779,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,169.6538980162854,0.0,0.0,0.0,0.0,1.0,0.9,True,169.6934667905398,87.7429217304765,169.6538980162854,169.6538980162854,0.01065264455974102,-0.001065264455974102,0.001065264455974102,-9.232041358947754,0.06703764945268631,-0.2968810200691223,9.99830910350702,False,IDLE,True,False,1273.0818525405211,357.7426840908527,0.00015163421630859375,1.5461637050810422,0.0,1.5461637050810422,NONE,0.0,0.0,0,3,0
1764118013.865707,9.65326738357544,18.783389027141276,True,779,1142.833251953125,1.0,0.02,True,False,-131,1,0,0,4,0,100.0,4,0,0,0.0,0,1,107.94949531555176,3,779.0,779,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,169.6538980162854,0.0,0.0,0.0,0.0,1.0,0.9,True,169.6934667905398,87.7429217304765,169.6538980162854,169.6538980162854,0.008522115647792816,0.0,0.007456851191818714,-9.232041358947754,0.019153613597154617,-0.3256114423274994,9.99891292946438,False,IDLE,True,False,1273.0818525405211,357.7426840908527,0.0001068115234375,1.5461637050810422,0.0,1.5461637050810422,NONE,0.0,0.0,0,4,0
1764118013.9049985,9.692559003829956,20.09753193633984,True,779,1142.833251953125,1.0,0.02,True,False,-131,1,0,0,5,0,100.0,5,0,0,0.0,0,1,147.18031883239746,4,779.0,779,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,169.6538980162854,0.0,0.0,0.0,0.0,1.0,0.9,True,169.6934667905398,87.7429217304765,169.6538980162854,169.6538980162854,0.009587380103766918,-0.011717909015715122,-0.001065264455974102,-9.279925346374512,0.05746084079146385,-0.31603461503982544,9.999055951557919,False,IDLE,True,False,1273.0818525405211,357.7426840908527,0.00011444091796875,1.5461637050810422,0.0,1.5461637050810422,NONE,0.0,0.0,0,5,0
1764118013.9434662,9.731026649475098,20.875545232731636,True,779,1142.833251953125,1.0,0.02,True,False,-131,1,0,0,6,0,100.0,6,0,0,0.0,0,1,185.79554557800293,5,779.0,779,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,169.6538980162854,0.0,0.0,0.0,0.0,1.0,0.9,True,169.6934667905398,87.7429217304765,169.6538980162854,169.6538980162854,-0.007456851191818714,-0.004261057823896408,-0.001065264455974102,-9.184157371520996,0.05746084079146385,-0.40222588181495667,9.999175139761363,False,IDLE,True,False,1273.0818525405211,357.7426840908527,0.00010180473327636719,1.5461637050810422,0.0,1.5461637050810422,NONE,0.0,0.0,0,6,0
1764118013.9863338,9.773894309997559,21.485137731297847,True,779,1142.833251953125,1.0,0.04,True,False,-131,2,0,0,7,0,100.0,7,0,0,0.0,0,1,227.6623249053955,6,779.0,779,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,169.64732991535357,0.0,0.0,0.0,0.006568100931843901,1.0,0.9,True,169.64749338193724,87.74779383029544,169.60792130976256,169.64732991535357,0.007456851191818714,0.0,0.002130528911948204,-9.251194953918457,0.08619125932455063,-0.28730419278144836,9.999260275932063,False,IDLE,True,False,1273.0818525405211,357.7426840908527,0.00013327598571777344,1.5461637050810422,0.0,1.5461637050810422,NONE,0.0,0.0,0,7,0
1764118014.0239027,9.811463117599487,21.883433728831008,True,779,1142.833251953125,1.0,0.04,True,False,-131,2,0,0,8,0,100.0,8,0,0,0.0,0,1,266.101598739624,7,779.0,779,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,169.6424038396547,0.0,0.0,0.0,0.011494176630719721,1.0,0.9,True,169.64749338193724,87.74779383029544,169.60792130976256,169.6424038396547,0.004261057823896408,-0.00532632227987051,-0.004261057823896408,-9.260771751403809,0.047884032130241394,-0.363918662071228,9.99948504238864,False,IDLE,True,False,1273.0818525405214,356.6176840908527,0.00011706352233886719,1.5461637050810428,0.0,1.5461637050810428,NONE,0.0,0.0,0,8,0
1764118014.0666382,9.854198694229126,22.195543415225657,False,0,0,0.0,0.04,True,False,0,2,0,0,8,1,88.88888888888889,0,1,0,0.0,0,0,0.0,7,779.0,0,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,169.63857244744446,0.0,0.0,0.0,0.015325568840950154,1.0,0.9,True,169.64749338193724,87.74779383029544,169.60792130976256,169.63857244744446,-0.0,0.012783173471689224,-0.006391586735844612,-9.251194953918457,0.038307227194309235,-0.33518823981285095,9.99943736381105,False,IDLE,True,False,1273.0818525405214,356.6176840908527,0.042848825454711914,1.5461637050810428,0.0,1.5461637050810428,NONE,0.0,0.0,0,9,0
1764118014.1049337,9.892494201660156,22.45767891454091,False,0,0,0.0,0.04,True,False,0,2,0,0,8,2,80.0,0,2,0,0.0,0,0,0.0,7,779.0,0,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,169.63550733367626,0.0,0.0,0.0,0.018390682609151554,1.0,0.9,True,169.64749338193724,87.74779383029544,169.60792130976256,169.63550733367626,-0.002130528911948204,0.006391586735844612,-0.002130528911948204,-9.299078941345215,0.047884032130241394,-0.3447650372982025,9.999454051261488,False,IDLE,True,False,1273.0818525405214,356.6176840908527,0.08110213279724121,1.5461637050810428,0.0,1.5461637050810428,NONE,0.0,0.0,0,10,0
